"substrate","approach.fit","lag.rem","fit.to","fit.last","n.cond","n.bot.nc","n.bot.c","tlag.md","lag.n0","ylag.md","rylag.md","ME.md","k.md","k.sd","B0.md","B0.sd"
"CEL","1","TRUE","rate",FALSE,108,0,320,2.8,0,78.1,0.224,0.959,0.45499,102,346,21.2
"CEL","2","TRUE","yield",FALSE,107,0,319,2.8,0,79,0.22,0.99,0.39628,83,352,11.6
"CEL","3","FALSE","rate",FALSE,107,5,314,0,107,0,0,0.373,0.10839,123,423,43.8
"CEL","4","FALSE","yield",FALSE,107,2,317,0,107,0,0,0.939,0.18923,116,370,34.2
"CEL","5","TRUE","rate",TRUE,108,1,319,2.8,0,78.1,0.211,0.951,0.41591,406,355,258
"CEL","6","TRUE","yield",TRUE,108,0,320,2.8,0,78.1,0.211,0.984,0.35975,413,356,269
"SA","1","TRUE","rate",FALSE,42,0,126,0.95,8,57.1,0.175,0.952,0.46238,96.4,350,13.9
"SA","2","TRUE","yield",FALSE,42,0,126,0.95,8,57.1,0.171,0.988,0.43251,73.6,368,11.4
"SA","3","FALSE","rate",FALSE,42,0,126,0,42,0,0,0.831,0.26002,105,393,11.6
"SA","4","FALSE","yield",FALSE,42,0,126,0,42,0,0,0.988,0.3342,85.2,369,9.25
"SA","5","TRUE","rate",TRUE,42,0,126,0.95,8,57.1,0.169,0.948,0.44668,82,372,11.2
"SA","6","TRUE","yield",TRUE,42,0,126,0.95,8,57.1,0.169,0.981,0.41495,63.9,372,11
"SB","1","TRUE","rate",FALSE,38,0,114,0.2,19,15.8,0.051,0.935,0.47098,126,352,26.1
"SB","2","TRUE","yield",FALSE,38,0,114,0.2,19,15.8,0.0439,0.987,0.43752,93.7,371,13.6
"SB","3","FALSE","rate",FALSE,38,0,114,0,38,0,0,0.868,0.33037,156,399,28.6
"SB","4","FALSE","yield",FALSE,38,0,114,0,38,0,0,0.983,0.34277,108,371,10.8
"SB","5","TRUE","rate",TRUE,38,0,114,0.2,19,15.8,0.0442,0.924,0.44566,101,377,12.8
"SB","6","TRUE","yield",TRUE,38,0,114,0.2,19,15.8,0.0442,0.981,0.4217,81.6,377,12.6
"SC","1","TRUE","rate",FALSE,100,0,301,1.9,7,132,0.276,0.959,0.41591,84.9,454,19.9
"SC","2","TRUE","yield",FALSE,100,1,300,1.9,7,132,0.276,0.989,0.31623,62.3,477,16.9
"SC","3","FALSE","rate",FALSE,100,1,300,0,100,0,0,0.802,0.16943,148,525,39.9
"SC","4","FALSE","yield",FALSE,98,1,294,0,98,0,0,0.984,0.22131,101,486,22.5
"SC","5","TRUE","rate",TRUE,100,0,301,1.9,7,132,0.269,0.944,0.35481,64.9,486,16.6
"SC","6","TRUE","yield",TRUE,100,0,301,1.9,7,132,0.261,0.983,0.29107,61.6,486,17
"SD","1","TRUE","rate",FALSE,43,0,132,2,2,37.5,0.149,0.914,0.11749,52.5,284,18.7
"SD","2","TRUE","yield",FALSE,43,0,132,2,2,37.5,0.145,0.996,0.11092,40,291,17.4
"SD","3","FALSE","rate",FALSE,43,0,132,0,43,0,0,0.749,0.079433,63.4,310,25.4
"SD","4","FALSE","yield",FALSE,43,1,131,0,43,0,0,0.993,0.087096,51.3,299,21.5
"SD","5","TRUE","rate",TRUE,43,0,132,2,2,37.5,0.142,0.914,0.11695,40.5,284,16.6
"SD","6","TRUE","yield",TRUE,43,0,132,2,2,37.5,0.141,0.994,0.10839,36.5,287,16.7
